"","isolate","Group","percent_over_5","Nmax"
"1","125","I","1","Nmax_avg"
"2","193","II","3","Nmax_avg"
"3","194","VII","3","Nmax_avg"
"4","402","IV","4","Nmax_avg"
"5","407","IV","3","Nmax_avg"
"6","413","IV","10","Nmax_avg"
"7","433","IV","3","Nmax_avg"
"8","457","II","3","Nmax_avg"
"9","474","III","3","Nmax_avg"
"10","495","IV","3","Nmax_avg"
"11","518","II","3","Nmax_avg"
"12","536","VII","3","Nmax_avg"
"13","564","II","5","Nmax_avg"
"14","570","V","6","Nmax_avg"
"15","638","V","10","Nmax_avg"
"16","649","IV","3","Nmax_avg"
"17","125","I","1","Nmax_min"
"18","193","II","3","Nmax_min"
"19","194","VII","3","Nmax_min"
"20","402","IV","3","Nmax_min"
"21","407","IV","3","Nmax_min"
"22","413","IV","10","Nmax_min"
"23","433","IV","3","Nmax_min"
"24","457","II","3","Nmax_min"
"25","474","III","3","Nmax_min"
"26","495","IV","3","Nmax_min"
"27","518","II","3","Nmax_min"
"28","536","VII","3","Nmax_min"
"29","564","II","5","Nmax_min"
"30","570","V","6","Nmax_min"
"31","638","V","10","Nmax_min"
"32","649","IV","3","Nmax_min"
"33","125","I","1","Nmax_max"
"34","193","II","3","Nmax_max"
"35","194","VII","3","Nmax_max"
"36","402","IV","4","Nmax_max"
"37","407","IV","3","Nmax_max"
"38","413","IV","10","Nmax_max"
"39","433","IV","3","Nmax_max"
"40","457","II","3","Nmax_max"
"41","474","III","3","Nmax_max"
"42","495","IV","3","Nmax_max"
"43","518","II","3","Nmax_max"
"44","536","VII","3","Nmax_max"
"45","564","II","5","Nmax_max"
"46","570","V","6","Nmax_max"
"47","638","V","10","Nmax_max"
"48","649","IV","3","Nmax_max"
